"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 500","21,998.60","22,159.50","21,952.40","21,296.45","22,137.10","-","840.65","3.95","3,99,22,04,087","1,40,275.59","24,144.20","20,385.65","-1.53","8.09"
"HDFCBANK","800.00","817.80","796.00","772.00","817.50","-","45.50","5.89","7,02,69,512","5,690.92","1,020.50","726.65","-2.76","-7.37"
"BSE","3,075.00","3,208.60","3,031.80","2,950.80","3,168.10","-","217.30","7.36","1,04,18,736","3,287.17","3,227.00","1,784.18","14.42","71.30"
"ICICIBANK","1,310.00","1,333.50","1,292.40","1,245.50","1,309.10","-","63.60","5.11","2,51,48,651","3,286.98","1,500.00","1,187.60","2.40","0.64"
"SBIN","1,074.00","1,077.80","1,059.45","1,030.40","1,065.00","-","34.60","3.36","2,85,33,742","3,048.94","1,234.70","741.00","-3.05","43.49"
"LT","3,948.00","4,032.00","3,931.00","3,723.30","4,010.00","-","286.70","7.70","73,68,477","2,943.63","4,440.00","3,048.00","4.37","31.30"
"RELIANCE","1,349.00","1,350.60","1,326.20","1,304.60","1,349.40","-","44.80","3.43","2,18,17,543","2,930.14","1,611.80","1,163.30","-5.24","13.84"
"INDIGO","4,600.00","4,744.00","4,560.40","4,268.80","4,614.00","-","345.20","8.09","55,38,528","2,581.69","6,232.50","3,895.20","8.91","-11.16"
"INFY","1,349.00","1,376.90","1,331.00","1,339.40","1,346.90","-","7.50","0.56","1,60,30,133","2,154.56","1,728.00","1,215.10","2.43","-4.05"
"BHARTIARTL","1,864.00","1,871.50","1,840.20","1,830.30","1,861.00","-","30.70","1.68","1,15,87,604","2,153.29","2,174.50","1,706.80","-0.31","8.48"
"GALLANTT","643.85","712.00","636.60","642.15","666.25","-","24.10","3.75","3,01,68,654","2,076.81","802.25","391.95","25.93","67.36"
"SHRIRAMFIN","975.00","1,035.45","975.00","930.65","1,025.00","-","94.35","10.14","1,82,56,527","1,856.60","1,108.00","566.50","3.83","64.12"
"AXISBANK","1,300.10","1,335.60","1,300.10","1,250.10","1,333.40","-","83.30","6.66","1,35,19,723","1,784.68","1,418.30","1,042.50","3.50","25.60"
"ASHOKLEY","165.10","173.16","162.94","152.93","172.30","-","19.37","12.67","10,23,02,775","1,738.74","215.42","99.00","-7.83","68.36"
"TITAN","4,351.30","4,505.00","4,309.10","4,230.60","4,485.00","-","254.40","6.01","38,34,533","1,706.06","4,505.00","3,090.70","7.83","41.30"
"ADANIGREEN","969.00","1,046.60","967.95","925.35","1,035.00","-","109.65","11.85","1,60,43,205","1,634.96","1,177.55","765.00","21.17","20.24"
"TMCV","413.40","445.95","409.55","396.05","436.10","-","40.05","10.11","3,47,82,882","1,509.19","509.00","306.30","-2.72","-"
"ETERNAL","243.55","246.92","241.00","231.97","244.40","-","12.43","5.36","6,18,01,744","1,508.64","368.45","209.86","6.46","15.62"
"MARUTI","13,350.00","13,745.00","13,210.00","12,798.00","13,570.00","-","772.00","6.03","10,26,292","1,398.43","17,370.00","11,289.00","0.46","18.44"
"M&M","3,125.00","3,231.00","3,109.00","3,006.60","3,212.50","-","205.90","6.85","42,27,961","1,354.53","3,839.90","2,454.00","0.78","27.32"
"BAJFINANCE","890.00","926.00","881.00","855.10","917.00","-","61.90","7.24","1,38,26,150","1,263.30","1,102.50","787.90","-2.24","4.97"
"TCS","2,572.00","2,580.30","2,540.10","2,539.80","2,561.10","-","21.30","0.84","47,69,337","1,219.58","3,630.50","2,346.20","1.33","-21.11"
"VEDL","734.00","735.00","717.30","713.25","723.20","-","9.95","1.40","1,63,94,216","1,186.86","769.80","368.15","1.95","95.17"
"ONGC","280.00","287.85","274.75","286.65","285.85","-","-0.80","-0.28","4,20,71,040","1,182.32","293.00","219.18","5.56","28.80"
"BLS","284.00","305.75","279.07","269.60","295.50","-","25.90","9.61","3,91,97,930","1,165.71","422.00","218.90","20.12","-14.73"
"KOTAKBANK","377.00","381.15","369.45","362.95","379.50","-","16.55","4.56","3,01,62,218","1,136.03","460.38","345.50","-1.77","-7.56"
"ADANIPOWER","168.00","174.35","166.21","163.36","169.34","-","5.98","3.66","6,63,18,120","1,124.95","182.70","101.00","21.73","66.53"
"ADANIPORTS","1,464.90","1,505.70","1,449.00","1,381.00","1,452.00","-","71.00","5.14","76,36,467","1,121.35","1,584.00","1,111.05","2.16","28.29"
"MCX","2,650.80","2,655.00","2,570.00","2,541.90","2,598.00","-","56.10","2.21","41,26,660","1,074.92","2,705.00","1,013.97","0.81","148.80"
"GROWW","172.00","182.00","171.13","166.61","181.61","-","15.00","9.00","5,81,58,703","1,037.49","193.80","112.00","21.71","-"
"DIXON","10,572.50","10,710.00","10,430.00","10,116.50","10,699.00","-","582.50","5.76","9,79,189","1,035.48","18,471.00","9,600.00","9.13","-19.45"
"HINDPETRO","354.00","367.65","351.00","331.40","364.95","-","33.55","10.12","2,59,74,676","936.26","508.45","316.20","-5.10","-3.78"
"COALINDIA","464.00","464.00","447.00","463.00","449.00","-","-14.00","-3.02","2,06,53,569","928.69","476.00","368.65","2.59","19.86"
"BEL","440.00","440.00","428.80","427.80","434.15","-","6.35","1.48","2,00,54,221","866.86","473.45","276.60","-5.07","54.97"
"NATIONALUM","415.00","417.35","397.00","411.75","400.20","-","-11.55","-2.81","2,13,98,906","862.61","431.50","140.50","3.12","178.98"
"ATGL","522.55","589.00","522.55","519.55","557.50","-","37.95","7.30","1,52,89,752","862.36","798.00","462.80","19.15","-3.78"
"ADANIENT","2,000.00","2,099.00","1,975.10","1,882.10","2,044.90","-","162.80","8.65","41,97,831","852.72","2,616.50","1,753.00","2.29","-5.84"
"DLF","555.00","574.85","555.00","534.10","572.75","-","38.65","7.24","1,47,22,143","834.95","886.80","489.40","-0.38","-6.54"
"SUNPHARMA","1,730.00","1,749.20","1,685.50","1,718.00","1,713.00","-","-5.00","-0.29","48,59,877","829.10","1,851.20","1,548.00","-5.22","3.68"
"HINDUNILVR","2,130.00","2,192.80","2,130.00","2,110.60","2,145.00","-","34.40","1.63","37,94,437","818.61","2,750.00","2,022.50","-2.26","-8.72"
